Genomes	Version	Species_Final
AH0325	v1	Klebsiella pneumoniae
AH0326	v1	Klebsiella pneumoniae
AH0327	v1	Klebsiella pneumoniae
AH0328	v1	Enterobacter cloacae complex
AH0329	v1	Klebsiella pneumoniae
AH0330	v1	Klebsiella pneumoniae
AH0331	v1	Klebsiella pneumoniae
AI2583	v1	Klebsiella pneumoniae
AI2584	v1	Klebsiella pneumoniae
AI2585	v1	Klebsiella pneumoniae
AI2586	v1	Klebsiella pneumoniae
AI2587	v1	Klebsiella pneumoniae
AI2588	v1	Klebsiella pneumoniae
AI2589	v1	Klebsiella pneumoniae
AI2590	v1	Klebsiella pneumoniae
AI2591	v1	Klebsiella pneumoniae
AI2592	v1	Klebsiella pneumoniae
AI2593	v1	Klebsiella pneumoniae
AI2594	v1	Klebsiella pneumoniae
AI2595	v1	Klebsiella pneumoniae
AI2596	v1	Klebsiella pneumoniae
AI2597	v5	Klebsiella pneumoniae
AI2598	v1	Escherichia coli
AI2599	v1	Klebsiella pneumoniae
AI2600	v1	Klebsiella pneumoniae
AI2601	v1	Klebsiella pneumoniae
AI2602	v1	Citrobacter freundii
AI2603	v1	Klebsiella pneumoniae
AI2604	v1	Klebsiella pneumoniae
AI2605	v1	Klebsiella pneumoniae
AI2606	v1	Klebsiella pneumoniae
AI2607	v1	Klebsiella pneumoniae
AI2608	v2	Klebsiella pneumoniae
AI2760	v1	Enterobacter cloacae complex
AI2610	v1	Klebsiella pneumoniae
AI2612	v1	Klebsiella pneumoniae
AI2609	v1	Citrobacter freundii
AI2614	v1	Klebsiella oxytoca
AI2613	v1	Enterobacter cloacae complex
AI2615	v1	Enterobacter cloacae complex
AI2616	v1	Serratia marcescens
AI2617	v1	Serratia marcescens
AI2618	v1	Serratia marcescens
AI2619	v1	Enterobacter cloacae complex
AI2621	v1	Klebsiella pneumoniae
AI2622	v1	Klebsiella pneumoniae
AI2623	v1	Klebsiella oxytoca
AI2624	v1	Enterobacter cloacae complex
AI2620	v1	Enterobacter cloacae complex
AI2627	v1	Klebsiella pneumoniae
AI2628	v1	Klebsiella pneumoniae
AI2629	v1	Klebsiella pneumoniae
AI2630	v1	Klebsiella pneumoniae
AI2631	v5	Klebsiella pneumoniae
AI2632	v1	Klebsiella pneumoniae
AI2633	v1	Klebsiella pneumoniae
AI2634	v1	Klebsiella pneumoniae
AI2635	v1	Klebsiella pneumoniae
AI2636	v1	Klebsiella pneumoniae
AI2637	v1	Klebsiella pneumoniae
AI2638	v1	Klebsiella pneumoniae
AI2639	v1	Klebsiella pneumoniae
AI2640	v1	Klebsiella pneumoniae
AI2641	v1	Klebsiella pneumoniae
AI2642	v1	Citrobacter freundii
AI2643	v1	Klebsiella pneumoniae
AI2644	v1	Klebsiella pneumoniae
AI2645	v1	Klebsiella pneumoniae
AI2646	v1	Klebsiella pneumoniae
AI2647	v1	Klebsiella pneumoniae
AI2648	v1	Klebsiella pneumoniae
AI2649	v1	Klebsiella pneumoniae
AI2650	v1	Klebsiella pneumoniae
AI2651	v1	Klebsiella pneumoniae
AI2652	v1	Klebsiella pneumoniae
AI2653	v1	Klebsiella pneumoniae
AI2654	v1	Klebsiella pneumoniae
AI2655	v1	Klebsiella pneumoniae
AI2626	v1	Klebsiella pneumoniae
AI2656	v1	Enterobacter cloacae complex
AI2657	v1	Enterobacter cloacae complex
AI2658	v1	Enterobacter cloacae complex
AI2659	v1	Enterobacter cloacae complex
AI2661	v1	Citrobacter freundii
AI2662	v1	Enterobacter cloacae complex
AI2664	v1	Klebsiella pneumoniae
AI2665	v1	Klebsiella pneumoniae
AI2666	v1	Citrobacter freundii
AI2667	v1	Klebsiella pneumoniae
AI2668	v1	Citrobacter freundii
AI2669	v1	Klebsiella pneumoniae
AI2670	v1	Klebsiella pneumoniae
AI2671	v1	Klebsiella pneumoniae
AI2672	v1	Enterobacter cloacae complex
AI2673	v1	Enterobacter cloacae complex
AI2674	v1	Enterobacter cloacae complex
AI2675	v1	Klebsiella pneumoniae
AI2676	v1	Klebsiella pneumoniae
AI2677	v1	Klebsiella pneumoniae
AI2678	v1	Klebsiella pneumoniae
AI2679	v1	Enterobacter cloacae complex
AI2680	v1	Citrobacter freundii
AI2681	v1	Klebsiella pneumoniae
AI2682	v1	Klebsiella pneumoniae
AI2683	v1	Enterobacter cloacae complex
AI2686	v1	Klebsiella pneumoniae
AI2687	v1	Klebsiella pneumoniae
AI2688	v1	Enterobacter cloacae complex
AI2689	v1	Enterobacter cloacae complex
AI2691	v1	Klebsiella pneumoniae
AI2693	v1	Klebsiella pneumoniae
AI2694	v1	Enterobacter cloacae complex
AI2695	v1	Enterobacter cloacae complex
AI2696	v1	Enterobacter cloacae complex
AI2697	v1	Enterobacter cloacae complex
AI2698	v1	Klebsiella pneumoniae
AI2699	v1	Klebsiella oxytoca
AI2700	v1	Klebsiella pneumoniae
AI2701	v1	Klebsiella pneumoniae
AI2702	v1	Klebsiella pneumoniae
AI2703	v1	Escherichia coli
AI2704	v1	Enterobacter cloacae complex
AI2705	v1	Enterobacter cloacae complex
AI2706	v1	Klebsiella pneumoniae
AI2707	v1	Klebsiella pneumoniae
AI2709	v1	Klebsiella pneumoniae
AI2710	v1	Enterobacter cloacae complex
AI2711	v1	Raoultella ornithinolytica
AI2713	v1	Klebsiella pneumoniae
AI2714	v1	Klebsiella pneumoniae
AI2715	v1	Escherichia coli
AI2716	v1	Enterobacter cloacae complex
AI2717	v1	Klebsiella pneumoniae
AI2719	v1	Enterobacter cloacae complex
AI2721	v1	Escherichia coli
AI2722	v1	Klebsiella pneumoniae
AI2723	v1	Klebsiella pneumoniae
AI2739	v1	Klebsiella pneumoniae
AI2740	v1	Klebsiella pneumoniae
AI2741	v1	Klebsiella pneumoniae
AI2742	v1	Klebsiella pneumoniae
AI2743	v1	Klebsiella pneumoniae
AI2744	v1	Klebsiella oxytoca
AI2745	v1	Klebsiella pneumoniae
AI2746	v1	Klebsiella pneumoniae
AI2747	v1	Enterobacter cloacae complex
AI2748	v1	Klebsiella pneumoniae
AI2749	v1	Klebsiella pneumoniae
AI2750	v1	Klebsiella pneumoniae
AI2751	v1	Klebsiella pneumoniae
AI2752	v1	Klebsiella pneumoniae
AI2753	v1	Klebsiella pneumoniae
AI2754	v5	Klebsiella pneumoniae
AI2755	v2	Klebsiella pneumoniae
AI2756	v1	Klebsiella pneumoniae
AI2757	v1	Klebsiella pneumoniae
AI2660	v1	Klebsiella pneumoniae
AI2759	v1	Enterobacter cloacae complex
AI2761	v1	Klebsiella pneumoniae
AI2762	v1	Enterobacter cloacae complex
AI2763	v1	Klebsiella pneumoniae
AI2764	v1	Klebsiella pneumoniae
AI2765	v1	Klebsiella pneumoniae
AI2766	v1	Klebsiella pneumoniae
AI2767	v1	Klebsiella pneumoniae
AI2768	v1	Klebsiella pneumoniae
AI2769	v1	Klebsiella pneumoniae
AI2770	v1	Klebsiella pneumoniae
AI2771	v2	Klebsiella pneumoniae
AI2772	v1	Enterobacter cloacae complex
AI2773	v2	Klebsiella pneumoniae
AI2774	v1	Enterobacter cloacae complex
AI2775	v1	Klebsiella pneumoniae
AI2776	v1	Klebsiella pneumoniae
AI2777	v1	Klebsiella pneumoniae
AI2778	v1	Klebsiella pneumoniae
AI2779	v1	Klebsiella pneumoniae
AI2780	v5	Klebsiella pneumoniae
AI2781	v1	Klebsiella pneumoniae
AI2782	v5	Klebsiella pneumoniae
AI2784	v1	Klebsiella pneumoniae
AI2785	v1	Klebsiella pneumoniae
AI2786	v1	Klebsiella pneumoniae
AI2787	v1	Klebsiella pneumoniae
AI2789	v1	Klebsiella pneumoniae
AI2790	v1	Klebsiella pneumoniae
AI2791	v1	Klebsiella pneumoniae
AI2792	v1	Klebsiella pneumoniae
AI2793	v1	Klebsiella pneumoniae
AI2794	v1	Klebsiella pneumoniae
AI2795	v1	Serratia marcescens
AI2796	v1	Enterobacter cloacae complex
AI2797	v1	Enterobacter cloacae complex
AI2798	v1	Enterobacter cloacae complex
AI2799	v1	Enterobacter cloacae complex
AI2800	v1	Klebsiella pneumoniae
AI2801	v1	Klebsiella pneumoniae
AI2802	v1	Enterobacter cloacae complex
AI2803	v1	Klebsiella pneumoniae
AI2804	v2	Enterobacter cloacae complex
AI2805	v1	Klebsiella pneumoniae
AI2806	v1	Klebsiella pneumoniae
AI2807	v1	Klebsiella pneumoniae
AI2808	v1	Klebsiella pneumoniae
AI2809	v1	Klebsiella pneumoniae
AI2810	v1	Klebsiella pneumoniae
AI2811	v1	Klebsiella pneumoniae
AI2812	v1	Klebsiella pneumoniae
AI2813	v1	Klebsiella pneumoniae
AI2814	v1	Klebsiella pneumoniae
AI2815	v1	Klebsiella pneumoniae
AI2816	v1	Klebsiella pneumoniae
AI2817	v1	Klebsiella pneumoniae
