ID	Name	Num_Rgenes	AST_R
AI2583	1	60	8
AI2584	2	63	8
AI2585	3	65	11
AI2586	4	66	12
AI2587	5	69	9
AI2588	6	71	12
AI2589	7	60	10
AI2590	8	61	11
AI2818	9	62	12
AI2819	10	62	8
AI2591	11	78	11
AI2592	12	58	9
AI2593	13	55	8
AI2594	14	77	11
AI2595	15	65	12
AI2820	16	32	6
AI2596	17	75	9
AI2861	18	64	9
AI2597	19	78	12
AI2598	20	78	9
AI2599	21	66	10
AI2600	22	65	13
AI2822	23	62	9
AI2823	24	71	12
AI2601	25	71	9
AI2824	26	75	12
AI2602	27	45	10
AI2825	28	75	11
AI2603	29	70	9
AI2826	30	45	8
AI2604	31	71	13
AI2605	32	62	13
AI2606	33	57	8
AI2607	34	61	9
AI3018	35	76	10
AI2608	36	42	10
AI2609	37	40	7
AI2610	38	63	10
AI2828	39	66	10
AI2612	43	67	4
AI2613	44	57	14
AI2614	45	83	10
AI2615	46	41	10
AI2616	47	22	8
AI2617	48	30	9
AI2618	49	21	8
AI2829	51	76	9
AI2830	52	43	15
AI2619	55	42	12
AI2620	56	44	11
AI2621	57	38	3
AI2831	58	76	9
AI2622	59	64	11
AI2623	60	66	11
AI2624	62	33	9
AI3021	64	86	9
AI2834	65	81	5
AI2626	66	78	11
AI2835	67	69	13
AI2627	68	68	15
AI2628	69	69	14
AI2629	70	68	12
AI2630	71	67	5
AI2631	72	66	14
AI2836	73	68	14
AI2632	74	68	14
AI2633	75	74	11
AI2634	76	67	11
AI2837	77	71	14
AI2635	78	67	8
AI2838	79	58	13
AI2636	80	68	9
AI2637	81	62	11
AI2839	82	44	7
AH0325	83T	68	10
AI2638	84	60	10
AI2840	85	70	8
AI2841	86	70	9
AI2639	87	68	9
AI2640	88	72	9
AI2641	89	72	9
AI2842	90	51	9
AH0326	91T	68	12
AI2843	92	98	15
AI2844	93	51	8
AI2846	95	32	6
AI2847	96	60	13
AI2848	97	62	10
AH0327	98T	68	10
AI2849	99	41	12
AI2850	100	62	9
AI2851	101	86	9
AI2852	102	74	13
AI2853	103	82	10
AI2854	104	87	9
AI2855	105	47	15
AI2856	106	46	12
AI2857	107	14	14
AI2858	108	82	13
AI2859	116	42	11
AI2860	117	98	8
AI2821	118	61	7
AI2862	119	70	11
AI2863	120	64	6
AI3023	121	43	10
AI2865	122	37	9
AI2866	123	25	5
AI2867	124	74	15
AI2868	125	64	10
AI3024	126	83	10
AI2642	127	49	12
AI2870	128	40	9
AI2643	129	34	11
AI2871	134	43	11
AI2872	135	14	11
AI2873	139	39	10
AI2874	140	75	10
AI2875	141	52	8
AI2876	142	36	10
AI2877	143	40	11
AI2644	144	70	11
AI2878	145	54	8
AI2879	146	75	15
AI2880	147	60	12
AI3025	148	85	11
AI2882	149	54	8
AI2645	150	68	12
AI2883	151	64	12
AI2884	152	14	11
AI2885	153	66	9
AI2886	154	51	10
AI2887	155	15	7
AI2888	156	59	11
AI2889	157	70	9
AI2890	158	66	4
AI2646	159	70	12
AI2647	160	70	11
AI2891	161	40	11
AI2892	162	75	12
AI2648	163	70	11
AI2893	164	34	4
AI2894	165	78	3
AN2335	166	25	9
AI2895	167	61	11
AI2649	168	61	11
AI2896	170	57	6
AI2897	171	40	11
AI2650	172	70	10
AI2651	173	63	10
AI2898	176	66	12
AI2899	177	82	10
AI2900	178	40	12
AI2652	179	70	10
AI2653	180	70	10
AI2901	181	68	10
AI2654	182	61	11
AI2902	183	64	11
AI2655	184	70	11
AI3027	185	66	11
AI2903	186	61	7
AI2904	187	37	9
AI2905	188	45	10
AI2906	189	33	11
AI2907	190	63	10
AI2908	191	65	11
AI2909	192	51	16
AI2910	193	67	10
AH0329	194T	52	15
AI2911	195	32	7
AI2912	196	65	10
AI2913	197	42	13
AI2914	198	74	11
AI2915	199	39	13
AI3028	200	64	14
AI2916	201	45	11
AI2917	203	64	15
AI2918	204	75	12
AI2919	205	70	11
AI2920	206	62	12
AI2921	207	61	10
AI2922	208	72	11
AI2923	209	62	11
AI2924	210	48	11
AI2925	211	44	10
AI2926	212	40	12
AI2927	213	62	10
AI2928	214	67	6
AI2929	215	65	12
AI2930	216	63	11
AI2931	217	63	10
AI2932	218	64	10
AI3030	219	60	10
