sample,OXA-48,KPC-2/3,VIM-1,NDM,IMP,GES-6
AH0328,1,0,0,0,0,0
AI2613,0,0,1,0,0,0
AI2615,0,0,1,0,0,0
AI2619,0,0,1,0,0,0
AI2620,0,0,1,0,0,0
AI2624,1,0,0,0,0,0
AI2656,0,0,1,0,0,0
AI2657,0,0,1,0,0,0
AI2658,0,0,1,0,0,0
AI2659,0,0,1,0,0,0
AI2662,1,0,0,0,0,0
AI2672,1,0,0,0,0,0
AI2673,1,0,0,0,0,0
AI2674,1,0,0,0,0,0
AI2679,1,0,0,0,0,0
AI2683,1,0,0,0,0,0
AI2688,1,0,0,0,0,0
AI2689,1,0,0,0,0,0
AI2694,1,0,0,0,0,0
AI2695,1,0,0,0,0,0
AI2696,1,0,0,0,0,0
AI2697,1,0,0,0,0,0
AI2704,0,1,0,0,0,0
AI2705,0,1,0,0,0,0
AI2710,0,1,0,0,0,0
AI2716,0,0,0,0,0,0
AI2719,0,1,0,0,0,0
AI2747,0,0,0,0,1,0
AI2759,0,0,1,0,0,0
AI2760,1,0,0,0,1,0
AI2762,0,0,0,0,0,0
AI2772,0,0,1,0,0,0
AI2774,1,0,0,0,0,0
AI2796,1,0,0,0,0,0
AI2797,0,0,1,0,0,0
AI2798,0,0,1,0,0,0
AI2799,1,0,1,0,0,0
AI2802,0,0,1,0,0,0
AI2804,0,0,1,0,0,0
AI2839,0,0,1,0,0,0
AI2859,0,0,1,0,0,0
AI2865,0,0,1,0,0,0
AI2866,1,0,0,0,0,0
AI2904,1,0,0,0,0,0
AI2905,1,0,0,0,0,0
AI2915,1,0,0,0,0,0
AI2916,1,0,0,0,0,0
AI2924,1,0,0,0,0,0
AI2936,0,0,1,0,0,0
AI2939,0,0,1,0,0,0
AI2941,0,0,1,0,0,0
AI2950,1,0,0,0,0,0
AI2964,1,0,0,0,0,0
AI2972,0,0,1,0,0,0
AI2983,0,1,0,0,0,0
AI2984,0,1,0,0,0,0
AI2992,0,0,0,0,1,0
AI2999,1,0,0,0,0,0
AI3013,0,0,1,0,0,0
AI3038,1,0,0,0,0,0
AI3045,0,1,0,0,0,0
AI3050,0,1,0,0,0,0
AN2360,0,0,1,0,0,0
AN2364,1,0,0,0,0,0
