sample,collection,color
AH0328,#66c2a5,SERGAS
AI2613,#66c2a5,SERGAS
AI2615,#66c2a5,SERGAS
AI2619,#66c2a5,SERGAS
AI2620,#66c2a5,SERGAS
AI2624,#66c2a5,SERGAS
AI2656,#66c2a5,SERGAS
AI2657,#66c2a5,SERGAS
AI2658,#66c2a5,SERGAS
AI2659,#66c2a5,SERGAS
AI2662,#66c2a5,SERGAS
AI2672,#66c2a5,SERGAS
AI2673,#66c2a5,SERGAS
AI2674,#66c2a5,SERGAS
AI2679,#66c2a5,SERGAS
AI2683,#66c2a5,SERGAS
AI2688,#66c2a5,SERGAS
AI2689,#66c2a5,SERGAS
AI2694,#66c2a5,SERGAS
AI2695,#66c2a5,SERGAS
AI2696,#66c2a5,SERGAS
AI2697,#66c2a5,SERGAS
AI2704,#fc8d62,CNM
AI2705,#fc8d62,CNM
AI2710,#fc8d62,CNM
AI2716,#fc8d62,CNM
AI2719,#fc8d62,CNM
AI2747,#66c2a5,SERGAS
AI2759,#66c2a5,SERGAS
AI2760,#66c2a5,SERGAS
AI2762,#66c2a5,SERGAS
AI2772,#66c2a5,SERGAS
AI2774,#66c2a5,SERGAS
AI2796,#66c2a5,SERGAS
AI2797,#66c2a5,SERGAS
AI2798,#66c2a5,SERGAS
AI2799,#66c2a5,SERGAS
AI2802,#66c2a5,SERGAS
AI2804,#66c2a5,SERGAS
AI2839,#66c2a5,SERGAS
AI2859,#66c2a5,SERGAS
AI2865,#66c2a5,SERGAS
AI2866,#66c2a5,SERGAS
AI2904,#66c2a5,SERGAS
AI2905,#66c2a5,SERGAS
AI2915,#66c2a5,SERGAS
AI2916,#66c2a5,SERGAS
AI2924,#66c2a5,SERGAS
AI2936,#66c2a5,SERGAS
AI2939,#66c2a5,SERGAS
AI2941,#66c2a5,SERGAS
AI2950,#66c2a5,SERGAS
AI2964,#66c2a5,SERGAS
AI2972,#66c2a5,SERGAS
AI2983,#fc8d62,CNM
AI2984,#fc8d62,CNM
AI2992,#66c2a5,SERGAS
AI2999,#66c2a5,SERGAS
AI3013,#66c2a5,SERGAS
AI3038,#66c2a5,SERGAS
AI3045,#fc8d62,CNM
AI3050,#fc8d62,CNM
AN2360,#66c2a5,SERGAS
AN2364,#66c2a5,SERGAS
