sample,OXA-48,KPC-2/3,VIM-1,NDM,IMP,GES-6
AH0325,1,0,0,0,0,0
AH0326,1,0,0,0,0,0
AH0327,1,0,0,0,0,0
AH0329,1,0,0,0,0,0
AH0330,1,0,0,0,0,0
AH0331,1,0,0,0,0,0
AI2583,1,0,0,0,0,0
AI2584,1,0,0,0,0,0
AI2585,1,0,0,0,0,0
AI2586,1,0,0,0,0,0
AI2587,1,0,0,0,0,0
AI2588,0,1,0,0,0,0
AI2589,1,0,0,0,0,0
AI2590,1,0,0,0,0,0
AI2591,1,0,0,0,0,0
AI2592,1,0,0,0,0,0
AI2593,1,0,0,0,0,0
AI2594,1,0,0,0,0,0
AI2595,1,0,0,0,0,0
AI2596,1,0,0,0,0,0
AI2597,1,0,0,0,0,0
AI2599,0,0,0,0,0,0
AI2600,1,0,0,0,0,0
AI2601,1,0,0,0,0,0
AI2603,1,0,0,0,0,0
AI2604,1,0,0,0,0,0
AI2605,1,0,0,0,0,0
AI2606,1,0,0,0,0,0
AI2607,1,0,0,0,0,0
AI2608,1,0,0,0,0,0
AI2610,1,0,0,0,0,0
AI2612,1,0,0,0,0,0
AI2621,1,0,0,0,0,0
AI2622,1,0,0,0,0,0
AI2626,0,0,1,0,0,0
AI2627,0,1,0,0,0,0
AI2628,0,1,0,0,0,0
AI2629,0,1,0,0,0,0
AI2630,1,0,0,0,0,0
AI2631,0,1,0,0,0,0
AI2632,0,1,0,0,0,0
AI2633,1,0,0,0,0,0
AI2634,0,0,0,0,0,0
AI2635,1,0,0,0,0,0
AI2636,1,0,0,0,0,0
AI2637,1,0,0,0,0,0
AI2638,1,0,0,0,0,0
AI2639,1,0,0,0,0,0
AI2640,1,0,0,0,0,0
AI2641,1,0,0,0,0,0
AI2643,0,1,0,0,0,0
AI2644,0,1,0,0,0,0
AI2645,0,1,0,0,0,0
AI2646,0,1,0,0,0,0
AI2647,0,1,0,0,0,0
AI2648,0,1,0,0,0,0
AI2649,0,1,0,0,0,0
AI2650,0,1,0,0,0,0
AI2651,0,1,0,0,0,0
AI2652,0,1,0,0,0,0
AI2653,0,1,0,0,0,0
AI2654,0,1,0,0,0,0
AI2655,0,1,0,0,0,0
AI2660,0,0,1,0,0,0
AI2664,1,0,0,0,0,0
AI2665,1,0,0,0,0,0
AI2667,1,0,0,0,0,0
AI2669,1,0,0,0,0,0
AI2670,1,0,0,0,0,0
AI2671,1,0,0,0,0,0
AI2675,1,0,0,0,0,0
AI2676,1,0,0,0,0,0
AI2677,1,0,0,0,0,0
AI2678,1,0,0,0,0,0
AI2681,1,0,0,0,0,0
AI2682,1,0,0,0,0,0
AI2686,1,0,0,0,0,0
AI2687,1,0,0,0,0,0
AI2691,1,0,0,0,0,0
AI2693,1,0,0,0,0,0
AI2698,1,0,0,0,0,0
AI2700,0,1,0,0,0,0
AI2701,0,1,0,0,0,0
AI2702,0,0,1,0,0,0
AI2706,0,1,0,0,0,0
AI2707,0,1,0,0,0,0
AI2709,0,1,0,0,0,0
AI2713,0,1,0,0,0,0
AI2714,0,1,0,0,0,0
AI2717,0,1,0,0,0,0
AI2722,0,1,0,0,0,0
AI2723,0,1,0,0,0,0
AI2739,1,0,0,0,0,0
AI2740,1,0,0,0,0,0
AI2741,1,0,0,0,0,0
AI2742,1,0,0,0,0,0
AI2743,1,0,0,0,0,0
AI2745,1,0,0,0,0,0
AI2746,1,0,0,0,0,0
AI2748,1,0,0,0,0,0
AI2749,1,0,0,0,0,0
AI2750,1,0,0,0,0,0
AI2751,1,0,0,0,0,0
AI2752,0,0,0,0,0,0
AI2753,1,0,0,0,0,0
AI2754,1,0,0,0,0,0
AI2755,1,0,0,0,0,0
AI2756,1,0,0,0,0,0
AI2757,1,0,0,0,0,0
AI2761,1,0,0,0,0,0
AI2763,1,0,0,0,0,0
AI2764,1,0,0,0,0,0
AI2765,1,0,0,0,0,0
AI2766,1,0,0,0,0,0
AI2767,1,0,0,0,0,0
AI2768,1,0,0,0,0,0
AI2769,1,0,0,0,0,0
AI2770,1,0,0,0,0,0
