sample,collection,color
AH0325,#66c2a5,SERGAS
AH0326,#66c2a5,SERGAS
AH0327,#66c2a5,SERGAS
AH0329,#66c2a5,SERGAS
AH0330,#66c2a5,SERGAS
AH0331,#66c2a5,SERGAS
AI2583,#66c2a5,SERGAS
AI2584,#66c2a5,SERGAS
AI2585,#66c2a5,SERGAS
AI2586,#66c2a5,SERGAS
AI2587,#66c2a5,SERGAS
AI2588,#66c2a5,SERGAS
AI2589,#66c2a5,SERGAS
AI2590,#66c2a5,SERGAS
AI2591,#66c2a5,SERGAS
AI2592,#66c2a5,SERGAS
AI2593,#66c2a5,SERGAS
AI2594,#66c2a5,SERGAS
AI2595,#66c2a5,SERGAS
AI2596,#66c2a5,SERGAS
AI2597,#66c2a5,SERGAS
AI2599,#66c2a5,SERGAS
AI2600,#66c2a5,SERGAS
AI2601,#66c2a5,SERGAS
AI2603,#66c2a5,SERGAS
AI2604,#66c2a5,SERGAS
AI2605,#66c2a5,SERGAS
AI2606,#66c2a5,SERGAS
AI2607,#66c2a5,SERGAS
AI2608,#66c2a5,SERGAS
AI2610,#66c2a5,SERGAS
AI2612,#66c2a5,SERGAS
AI2621,#66c2a5,SERGAS
AI2622,#66c2a5,SERGAS
AI2626,#66c2a5,SERGAS
AI2627,#66c2a5,SERGAS
AI2628,#66c2a5,SERGAS
AI2629,#66c2a5,SERGAS
AI2630,#66c2a5,SERGAS
AI2631,#66c2a5,SERGAS
AI2632,#66c2a5,SERGAS
AI2633,#66c2a5,SERGAS
AI2634,#66c2a5,SERGAS
AI2635,#66c2a5,SERGAS
AI2636,#66c2a5,SERGAS
AI2637,#66c2a5,SERGAS
AI2638,#66c2a5,SERGAS
AI2639,#66c2a5,SERGAS
AI2640,#66c2a5,SERGAS
AI2641,#66c2a5,SERGAS
AI2643,#66c2a5,SERGAS
AI2644,#66c2a5,SERGAS
AI2645,#66c2a5,SERGAS
AI2646,#66c2a5,SERGAS
AI2647,#66c2a5,SERGAS
AI2648,#66c2a5,SERGAS
AI2649,#66c2a5,SERGAS
AI2650,#66c2a5,SERGAS
AI2651,#66c2a5,SERGAS
AI2652,#66c2a5,SERGAS
AI2653,#66c2a5,SERGAS
AI2654,#66c2a5,SERGAS
AI2655,#66c2a5,SERGAS
AI2660,#66c2a5,SERGAS
AI2664,#66c2a5,SERGAS
AI2665,#66c2a5,SERGAS
AI2667,#66c2a5,SERGAS
AI2669,#66c2a5,SERGAS
AI2670,#66c2a5,SERGAS
AI2671,#66c2a5,SERGAS
AI2675,#66c2a5,SERGAS
AI2676,#66c2a5,SERGAS
AI2677,#66c2a5,SERGAS
AI2678,#66c2a5,SERGAS
AI2681,#66c2a5,SERGAS
AI2682,#66c2a5,SERGAS
AI2686,#66c2a5,SERGAS
AI2687,#66c2a5,SERGAS
AI2691,#66c2a5,SERGAS
AI2693,#66c2a5,SERGAS
AI2698,#66c2a5,SERGAS
AI2700,#fc8d62,CNM
AI2701,#fc8d62,CNM
AI2702,#fc8d62,CNM
AI2706,#fc8d62,CNM
AI2707,#fc8d62,CNM
AI2709,#fc8d62,CNM
AI2713,#fc8d62,CNM
