Genomes	version	species	MLST
AH0325	v1	kpneumoniae	392
AH0326	v1	kpneumoniae	392
AH0327	v1	kpneumoniae	392
AH0328	v1	ecloacae	171
AH0329	v1	kpneumoniae	392
AH0330	v1	kpneumoniae	15
AH0331	v1	kpneumoniae	104
AI2583	v1	kpneumoniae	11
AI2584	v1	kpneumoniae	11
AI2585	v1	kpneumoniae	405
AI2586	v1	kpneumoniae	11
AI2587	v1	kpneumoniae	11
AI2588	v1	kpneumoniae	512
AI2589	v1	kpneumoniae	11
AI2590	v1	kpneumoniae	11
AI2591	v1	kpneumoniae	11
AI2592	v1	kpneumoniae	405
AI2593	v1	kpneumoniae	219
AI2594	v1	kpneumoniae	15
AI2595	v1	kpneumoniae	405
AI2596	v1	kpneumoniae	11
AI2597	v1	kpneumoniae	11
AI2598	v1	ecoli	131
AI2599	v1	kpneumoniae	392
AI2600	v1	kpneumoniae	405
AI2601	v1	kpneumoniae	11
AI2602	v1	cfreundii	-
AI2603	v1	kpneumoniae	11
AI2604	v1	kpneumoniae	11
AI2605	v1	kpneumoniae	11
AI2606	v1	kpneumoniae	392
AI2607	v1	kpneumoniae	392
AI2608	v2	kpneumoniae	392
AI2760	v1	ecloacae	182
AI2610	v1	kpneumoniae	11
AI2612	v1	kpneumoniae	15
AI2609	v1	cfreundii	-
AI2614	v1	koxytoca	-
AI2613	v1	ecloacae	93
AI2615	v1	ecloacae	78
AI2616	v1		
AI2617	v1		
AI2618	v1		
AI2619	v1	ecloacae	78
AI2621	v1	kpneumoniae	405
AI2622	v1	kpneumoniae	405
AI2623	v1	koxytoca	145
AI2624	v1	ecloacae	114
AI2620	v1	ecloacae	78
AI2627	v1	kpneumoniae	512
AI2628	v1	kpneumoniae	512
AI2629	v1	kpneumoniae	512
AI2630	v1	kpneumoniae	15
AI2631	v1	kpneumoniae	512
AI2632	v1	kpneumoniae	512
AI2633	v1	kpneumoniae	11
AI2634	v1	kpneumoniae	11
AI2635	v1	kpneumoniae	392
AI2636	v1	kpneumoniae	392
AI2637	v1	kpneumoniae	429
AI2638	v1	kpneumoniae	307
AI2639	v1	kpneumoniae	392
AI2640	v1	kpneumoniae	392
AI2641	v1	kpneumoniae	392
AI2642	v1	cfreundii	8
AI2643	v1	kpneumoniae	307
AI2644	v1	kpneumoniae	307
AI2645	v1	kpneumoniae	307
AI2646	v1	kpneumoniae	307
AI2647	v1	kpneumoniae	307
AI2648	v1	kpneumoniae	307
AI2649	v1	kpneumoniae	307
AI2650	v1	kpneumoniae	307
AI2651	v1	kpneumoniae	459
AI2652	v1	kpneumoniae	307
AI2653	v1	kpneumoniae	307
AI2654	v1	kpneumoniae	307
AI2655	v1	kpneumoniae	307
AI2626	v1	kpneumoniae	11
AI2656	v1	ecloacae	133
