file_id	-	total_length	rep_type	relaxase_type	mpf_type	orit_type	PredictedMobility
AH0325_v1_c1	-	5313031	-	-	-	-	Non-mobilizable
AH0325_v1_c2	G1	416619	IncFII,IncFIB,rep_cluster_1150	MOBF,MOBH	MPF_F	-	Conjugative
AH0325_v1_c3	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AH0325_v1_c4	G1	52432	IncN	MOBF	MPF_T	MOBF	Conjugative
AH0325_v1_c5	G2	5599	ColRNAI_rep_cluster_1857	MOBP	-	MOBP	Mobilizable
AH0325_v1_c6	G3	4167	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AH0325_v1_c7	G909	2058	ColRNAI_rep_cluster_1993	-	-	-	Non-mobilizable
AH0326_v1_c1	-	5311914	-	-	-	-	Non-mobilizable
AH0326_v1_c2	G1	343538	rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AH0326_v1_c3	G1	166085	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AH0326_v1_c4	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AH0326_v1_c5	G4	5598	ColRNAI_rep_cluster_1857	MOBP	-	MOBP	Mobilizable
AH0326_v1_c6	G5	4167	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AH0326_v1_c7	G6	2058	ColRNAI_rep_cluster_1993	-	-	-	Non-mobilizable
AH0327_v1_c1	-	5328572	-	-	-	-	Non-mobilizable
AH0327_v1_c2	G1	342749	rep_cluster_1150	MOBH	MPF_F	-	Conjugative
AH0327_v1_c3	G1	167530	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AH0327_v1_c4	G1	63589	IncL/M	MOBP	MPF_I	-	Conjugative
AH0327_v1_c5	G7	5599	ColRNAI_rep_cluster_1857	MOBP	-	MOBP	Mobilizable
AH0327_v1_c6	G8	4167	ColRNAI_rep_cluster_1987,rep_cluster_2050	-	-	-	Non-mobilizable
AH0327_v1_c7	G9	2058	ColRNAI_rep_cluster_1993	-	-	-	Non-mobilizable
AH0328_v1_c1	-	4975330	IncH,rep_cluster_1088	MOBH	MPF_F	MOBH	Conjugative
AH0328_v1_c2	G1	47519	IncL/M	-	MPF_I	-	Non-mobilizable
AH0328_v1_c3	G10	4804	rep_cluster_2050,ColRNAI_rep_cluster_1987	-	-	-	Non-mobilizable
AH0328_v1_c4	G11	2495	ColRNAI_rep_cluster_1857	-	-	MOB_unknown	Mobilizable
AH0329_v1_c1	-	5395872	-	-	-	-	Non-mobilizable
AH0329_v1_c2	G1	148756	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative
AH0329_v1_c3	G1	65499	IncL/M	MOBP	MPF_I	-	Conjugative
