Query genome	Reference genome	ANI_tw	AF
AH0325_v1_c2	AH0325_v1_c2	100.000	100.00
AH0325_v1_c2	AI2654_v1_c2	99.564	52.4539185781
AH0325_v1_c2	AI2913_v1_c2	99.897	62.7574804852
AH0325_v1_c3	AI2670_v1_c3	99.962	100.00
AH0325_v1_c3	AI2752_v1_c3	99.991	100.00
AH0325_v1_c3	AI2803_v1_c3	99.996	100.00
AH0325_v1_c3	AI2856_v1_c4	99.998	100.00
AH0325_v1_c3	AI2893_v1_c3	99.984	100.00
AH0325_v1_c3	AI2965_v1_c4	99.996	100.00
AH0325_v1_c3	AI3002_v1_c4	99.994	100.00
AH0325_v1_c3	AN2349_v1_c3	99.996	100.00
AH0325_v1_c4	AI2771_v2_c3	98.213	79.7687130601
AH0326_v1_c2	AH0325_v1_c2	99.992	100.00
AH0326_v1_c2	AI2974_v1_c2	99.859	100.00
AH0326_v1_c2	AI3004_v1_c2	99.805	100.00
AH0326_v1_c3	AI2837_v1_c2	98.661	70.7592444311
AH0326_v1_c3	AI2871_v1_c2	98.394	77.589449127
AH0326_v1_c3	AI2922_v1_c2	98.405	78.681986755
AH0326_v1_c3	AI2961_v1_c3	99.561	100.00
AH0326_v1_c3	AI2977_v1_c2	99.202	52.4362161349
AH0326_v1_c3	AI3040_v1_c2	99.687	100.00
AH0326_v1_c3	AI3069_v1_c3	99.940	100.00
AH0326_v1_c4	AI2633_v1_c3	99.997	88.137077769
AH0326_v1_c4	AI2672_v1_c3	99.962	100.00
AH0326_v1_c4	AI2764_v1_c5	99.998	91.3536213668
AH0326_v1_c4	AI2895_v1_c3	99.994	100.00
AH0326_v1_c4	AI2923_v1_c3	99.995	96.143880597
AH0326_v1_c4	AI2957_v1_c3	99.996	100.00
AH0326_v1_c4	AN2345_v1_c3	99.760	100.00
AH0327_v1_c2	AI2786_v1_c2	99.786	98.0959425153
AH0327_v1_c3	AH0331_v1_c2	98.412	57.095396778
AH0327_v1_c3	AI2722_v1_c2	99.810	60.3679832936
AH0327_v1_c3	AI3001_v1_c3	99.903	100.00
AH0327_v1_c3	AI3043_v5_c2	98.304	79.0185650358
AH0327_v1_c4	AI2740_v1_c3	99.990	100.00
AH0327_v1_c4	AI2768_v1_c4	99.998	100.00
AH0327_v1_c4	AI2925_v1_c4	99.996	100.00
AH0327_v1_c4	AI2989_v1_c3	99.990	100.00
AH0328_v1_c2	AI2683_v1_c3	99.948	100.00
AH0328_v1_c2	AI2819_v5_c4	99.997	100.00
AH0328_v1_c2	AI2890_v1_c3	99.997	100.00
AH0328_v1_c2	AI2923_v1_c3	99.997	100.00
AH0328_v1_c2	AI3065_v1_c3	100.000	100.00
AH0329_v1_c2	AI2610_v1_c2	98.345	74.4759912634
AH0329_v1_c2	AI2640_v1_c3	99.978	100.00
AH0329_v1_c2	AI2753_v1_c2	98.427	81.7916733871
AH0329_v1_c2	AI2842_v1_c2	98.383	89.1757560484
AH0329_v1_c2	AI2867_v1_c2	99.696	100.00
AH0329_v1_c2	AI2942_v1_c2	98.242	82.2618178763
AH0329_v1_c2	AI3025_v1_c3	98.514	83.0846740591
AH0329_v1_c3	AI2681_v1_c3	99.974	100.00
AH0329_v1_c3	AI2774_v1_c4	99.997	90.1933943555
AH0329_v1_c3	AI2840_v1_c4	99.997	100.00
AH0329_v1_c3	AI2890_v1_c3	99.996	100.00
AH0329_v1_c3	AI2945_v1_c2	99.993	100.00
AH0329_v1_c3	AI2972_v1_c3	99.978	96.3836536995
AH0329_v1_c3	AN2342_v1_c4	99.733	100.00
AH0329_v1_c3	AN2362_v1_c3	99.998	100.00
AH0330_v1_c2	AI2819_v5_c2	98.726	54.8218830787
AH0330_v1_c2	AI2903_v1_c2	98.374	86.6210164512
AH0330_v1_c2	AI3039_v1_c3	97.955	67.2794506463
AH0330_v1_c3	AH0329_v1_c2	99.039	74.3441847997
AH0330_v1_c3	AI2706_v1_c2	98.863	79.0433396405
AH0330_v1_c3	AI2761_v1_c2	99.057	88.3915263324
AH0330_v1_c3	AI2908_v1_c2	99.663	54.6005865658
AH0330_v1_c3	AI2976_v1_c3	99.203	100.00
AH0330_v1_c3	AI3062_v1_c2	99.057	90.7789467045
AH0330_v1_c3	AN2344_v1_c2	99.066	85.2116745506
AH0330_v1_c4	AI2666_v1_c5	100.000	100.00
AH0330_v1_c4	AI2746_v1_c3	99.969	100.00
AH0330_v1_c4	AI2792_v1_c6	99.965	100.00
AH0330_v1_c4	AI2854_v1_c4	99.965	100.00
AH0330_v1_c4	AI2924_v1_c3	99.975	100.00
AH0330_v1_c4	AI2962_v1_c4	99.963	100.00
AH0330_v1_c4	AI2999_v1_c3	99.964	100.00
AH0331_v1_c2	AI2589_v1_c2	99.753	80.4055899009
AH0331_v1_c2	AI2633_v1_c2	99.797	100.00
AH0331_v1_c2	AI2650_v1_c2	98.824	73.9498230297
AH0331_v1_c2	AI2753_v1_c2	99.790	100.00
AH0331_v1_c2	AI2800_v1_c2	98.746	77.3859603587
AH0331_v1_c2	AI2854_v1_c2	99.885	97.7275601699
AH0331_v1_c2	AI2878_v1_c2	99.876	78.678815479
AH0331_v1_c2	AI2974_v1_c3	98.909	80.931047664
AH0331_v1_c2	AI3021_v1_c2	99.195	100.00
AH0331_v1_c2	AN2361_v1_c2	99.332	88.5528102879
AH0331_v1_c3	AI2740_v1_c3	99.990	100.00
AH0331_v1_c3	AI2768_v1_c4	99.998	100.00
AH0331_v1_c3	AI2925_v1_c4	99.996	100.00
AH0331_v1_c3	AI2989_v1_c3	99.990	100.00
AH0331_v1_c4	AI2766_v1_c5	97.002	85.7709439003
AI2583_v1_c2	AI2601_v1_c2	99.947	100.00
AI2583_v1_c2	AI2781_v1_c3	98.292	70.434608476
AI2583_v1_c2	AI2885_v1_c2	98.572	63.7990710076
AI2583_v1_c2	AI3031_v1_c2	98.732	92.995823744
AI2583_v1_c2	AN2343_v1_c2	98.645	92.3369772663
AI2583_v1_c3	AI2784_v1_c4	99.840	84.8979199219
AI2584_v1_c2	AI2644_v1_c2	98.460	65.2120301652
AI2584_v1_c2	AI2756_v1_c2	99.894	95.1485276514
AI2584_v1_c2	AI2962_v1_c3	98.445	85.5853579124
AI2584_v1_c3	AI2674_v1_c4	99.958	100.00
AI2584_v1_c3	AI2760_v1_c4	99.994	100.00
AI2584_v1_c3	AI2791_v1_c4	99.992	100.00
AI2584_v1_c3	AI2860_v1_c3	99.980	99.684363354
AI2584_v1_c3	AI2891_v1_c2	100.000	100.00
AI2584_v1_c3	AI2918_v1_c4	99.982	100.00
AI2584_v1_c3	AI2950_v1_c3	99.959	100.00
AI2584_v1_c3	AI3006_v1_c3	99.994	100.00
AI2584_v1_c3	AN2362_v1_c3	99.997	100.00
AI2585_v1_c2	AI2646_v1_c2	99.892	98.8727704752
AI2585_v1_c2	AI2913_v1_c2	99.767	100.00
AI2585_v1_c2	AI3009_v1_c3	99.729	88.169917088
AI2585_v1_c3	AI2742_v1_c4	99.992	100.00
AI2585_v1_c3	AI2790_v1_c3	99.997	100.00
AI2585_v1_c3	AI2853_v1_c4	99.976	100.00
