Genomes	MLST_Final
AH0325	392
AH0326	392
AH0327	392
AH0328	171
AH0329	392
AH0330	15
AH0331	104
AI2583	11
AI2584	11
AI2585	405
AI2586	11
AI2587	11
AI2588	512
AI2589	11
AI2590	11
AI2591	11
AI2592	405
AI2593	219
AI2594	15
AI2595	405
AI2596	11
AI2597	11
AI2598	131
AI2599	392
AI2600	405
AI2601	11
AI2602	112
AI2603	11
AI2604	11
AI2605	11
AI2606	392
AI2607	392
AI2608	392
AI2609	402
AI2610	11
AI2612	15
AI2613	93
AI2614	324
AI2615	78
AI2616	0
AI2617	0
AI2618	0
AI2619	78
AI2620	78
AI2621	405
AI2622	405
AI2623	145
AI2624	114
AI2626	11
AI2627	512
AI2628	512
AI2629	512
AI2630	15
AI2631	512
AI2632	512
AI2633	11
AI2634	11
AI2635	392
AI2636	392
AI2637	429
AI2638	307
AI2639	392
AI2640	392
AI2641	392
AI2642	8
AI2643	307
AI2644	307
AI2645	307
AI2646	307
AI2647	307
AI2648	307
AI2649	307
AI2650	307
AI2651	459
AI2652	307
AI2653	307
AI2654	307
AI2655	307
AI2656	133
AI2657	133
AI2658	133
AI2659	78
AI2660	11
AI2661	22
AI2662	171
AI2664	147
AI2665	15
AI2666	18
AI2667	485
AI2668	18
AI2669	15
AI2670	405
AI2671	147
AI2672	1379
AI2673	1379
AI2674	23
AI2675	326
AI2676	147
AI2677	405
AI2678	147
AI2679	23
AI2680	18
AI2681	326
AI2682	147
AI2683	66
AI2686	326
AI2687	147
AI2688	78
AI2689	171
AI2691	147
AI2693	567
AI2694	23
AI2695	78
AI2696	1379
AI2697	171
AI2698	15
AI2699	325
AI2700	1961
AI2701	273
AI2702	14
AI2703	162
AI2704	96
AI2705	515
AI2706	512
AI2707	512
AI2709	678
AI2710	96
AI2711	0
AI2713	273
AI2714	512
AI2715	23
AI2716	742
AI2717	1961
AI2719	515
AI2721	131
AI2722	307
AI2723	258
AI2739	11
AI2740	5000
AI2741	5000
AI2742	11
AI2743	11
AI2744	2
AI2745	11
AI2746	5000
AI2747	182
AI2748	11
AI2749	11
AI2750	11
AI2751	5000
AI2752	5000
AI2753	5000
AI2754	5000
AI2755	11
AI2756	11
AI2757	5000
AI2759	114
AI2760	182
AI2761	5000
AI2762	125
AI2763	147
AI2764	147
AI2765	147
AI2766	147
AI2767	147
AI2768	147
AI2769	147
AI2770	147
AI2771	101
AI2772	110
AI2773	307
AI2774	78
AI2775	147
AI2776	11
AI2777	307
AI2778	11
AI2779	437
AI2780	11
AI2781	307
AI2782	11
AI2784	11
AI2785	11
AI2786	307
AI2787	307
AI2789	307
AI2790	11
AI2791	307
AI2792	437
AI2793	437
AI2794	307
AI2795	0
AI2796	1380
AI2797	24
AI2798	78
AI2799	1015
AI2800	405
AI2801	101
AI2802	24
AI2803	628
AI2804	78
AI2805	512
AI2806	512
AI2807	512
AI2808	512
AI2809	512
AI2810	512
AI2811	512
AI2812	512
AI2813	512
AI2814	512
AI2815	512
AI2816	512
AI2817	512
AI2818	15
AI2819	15
AI2820	1189
AI2821	362
AI2822	392
AI2823	11
AI2824	11
AI2825	11
AI2826	22
AI2828	202
AI2829	15
AI2830	147
AI2831	127
AI2834	624
AI2835	512
AI2836	512
AI2837	512
AI2838	307
AI2839	413
AI2840	392
AI2841	392
AI2842	1401
AI2843	410
AI2844	198
AI2846	45
AI2847	307
AI2848	1083
AI2849	147
AI2850	151
AI2851	152
AI2852	10
AI2853	10
AI2854	152
AI2855	147
AI2856	147
AI2857	0
AI2858	648
AI2859	133
AI2860	602
AI2861	11
AI2862	405
AI2863	307
AI2865	108
AI2866	90
AI2867	39
AI2868	307
AI2870	11
AI2871	11
AI2872	0
AI2873	11
AI2874	11
AI2875	11
AI2876	11
AI2877	11
AI2878	11
AI2879	11
AI2880	101
AI2882	307
AI2883	307
AI2884	0
AI2885	307
AI2886	15
AI2887	0
AI2888	15
AI2889	307
AI2890	538
AI2891	11
AI2892	11
AI2893	45
AI2894	58
AI2895	11
AI2896	307
AI2897	11
AI2898	101
AI2899	131
AI2900	11
AI2901	307
AI2902	11
AI2903	392
AI2904	662
AI2905	732
AI2906	392
AI2907	5001
AI2908	39
AI2909	11
AI2910	11
AI2911	392
AI2912	392
AI2913	57
