Plasmid	carbapenemase
AH0325_v1_c3	OXA-48
AH0326_v1_c4	OXA-48
AH0327_v1_c4	OXA-48
AH0328_v1_c2	OXA-48
AH0329_v1_c3	OXA-48
AH0330_v1_c4	OXA-48
AH0331_v1_c3	OXA-48
AI2584_v1_c3	OXA-48
AI2585_v1_c3	OXA-48
AI2586_v1_c3	OXA-48
AI2592_v1_c3	OXA-48
AI2593_v1_c3	OXA-48
AI2594_v1_c5	OXA-48
AI2595_v1_c4	OXA-48
AI2596_v1_c2	OXA-48
AI2600_v1_c4	OXA-48
AI2605_v1_c2	OXA-48
AI2606_v1_c4	OXA-48
AI2607_v1_c3	OXA-48
AI2612_v1_c4	OXA-48
AI2621_v1_c4	OXA-48
AI2622_v1_c4	OXA-48
AI2623_v1_c3	OXA-48
AI2624_v1_c3	OXA-48
AI2630_v1_c3	OXA-48
AI2633_v1_c3	OXA-48
AI2635_v1_c3	OXA-48
AI2636_v1_c4	OXA-48
AI2637_v1_c3	OXA-48
AI2638_v1_c4	OXA-48
AI2639_v1_c3	OXA-48
AI2640_v1_c4	OXA-48
AI2641_v1_c4	OXA-48
AI2661_v1_c4	OXA-48
AI2662_v1_c3	OXA-48
AI2664_v1_c3	OXA-48
AI2665_v1_c4	OXA-48
AI2666_v1_c5	OXA-48
AI2667_v1_c2	OXA-48
AI2668_v1_c5	OXA-48
AI2669_v1_c4	OXA-48
AI2670_v1_c3	OXA-48
AI2671_v1_c3	OXA-48
AI2672_v1_c3	OXA-48
AI2673_v1_c3	OXA-48
AI2674_v1_c4	OXA-48
AI2675_v1_c3	OXA-48
AI2676_v1_c4	OXA-48
AI2677_v1_c3	OXA-48
AI2678_v1_c3	OXA-48
AI2679_v1_c4	OXA-48
AI2680_v1_c8	OXA-48
AI2681_v1_c3	OXA-48
AI2682_v1_c4	OXA-48
AI2683_v1_c3	OXA-48
AI2686_v1_c4	OXA-48
AI2687_v1_c4	OXA-48
AI2688_v1_c5	OXA-48
AI2689_v1_c3	OXA-48
AI2691_v1_c3	OXA-48
AI2693_v1_c3	OXA-48
AI2694_v1_c4	OXA-48
AI2695_v1_c3	OXA-48
AI2696_v1_c3	OXA-48
AI2697_v1_c2	OXA-48
AI2698_v1_c2	OXA-48
AI2699_v1_c3	OXA-48
AI2739_v1_c4	OXA-48
AI2740_v1_c3	OXA-48
AI2741_v1_c4	OXA-48
AI2742_v1_c4	OXA-48
AI2743_v1_c3	OXA-48
AI2745_v1_c4	OXA-48
AI2746_v1_c3	OXA-48
AI2748_v1_c4	OXA-48
AI2749_v1_c3	OXA-48
AI2750_v1_c3	OXA-48
AI2751_v1_c3	OXA-48
AI2752_v1_c3	OXA-48
AI2753_v1_c2	OXA-48
AI2754_v5_c3	OXA-48
AI2755_v2_c3	OXA-48
AI2756_v1_c3	OXA-48
AI2757_v1_c4	OXA-48
AI2760_v1_c4	OXA-48
AI2761_v1_c4	OXA-48
AI2763_v1_c5	OXA-48
AI2764_v1_c5	OXA-48
AI2765_v1_c4	OXA-48
AI2766_v1_c4	OXA-48
AI2767_v1_c3	OXA-48
AI2768_v1_c4	OXA-48
AI2769_v1_c3	OXA-48
AI2770_v1_c3	OXA-48
AI2771_v2_c3	OXA-48
AI2773_v2_c2	OXA-48
AI2774_v1_c4	OXA-48
AI2775_v1_c4	OXA-48
AI2776_v1_c3	OXA-48
AI2777_v1_c4	OXA-48
AI2778_v1_c3	OXA-48
AI2780_v5_c3	OXA-48
AI2781_v1_c4	OXA-48
AI2782_v5_c3	OXA-48
AI2784_v1_c3	OXA-48
AI2785_v1_c3	OXA-48
AI2786_v1_c3	OXA-48
AI2787_v1_c5	OXA-48
AI2789_v1_c3	OXA-48
AI2790_v1_c3	OXA-48
AI2791_v1_c4	OXA-48
AI2792_v1_c6	OXA-48
AI2794_v1_c4	OXA-48
AI2796_v1_c2	OXA-48
AI2799_v1_c4	OXA-48
AI2800_v1_c4	OXA-48
AI2803_v1_c3	OXA-48
AI2818_v1_c3	OXA-48
AI2819_v5_c4	OXA-48
AI2821_v1_c2	OXA-48
AI2822_v1_c2	OXA-48
AI2823_v5_c3	OXA-48
AI2824_v5_c3	OXA-48
AI2825_v1_c3	OXA-48
AI2829_v1_c3	OXA-48
AI2834_v1_c4	OXA-48
AI2838_v1_c4	OXA-48
AI2840_v1_c4	OXA-48
AI2841_v1_c4	OXA-48
AI2842_v1_c4	OXA-48
AI2844_v1_c4	OXA-48
AI2846_v1_c6	OXA-48
AI2847_v1_c4	OXA-48
AI2849_v1_c3	OXA-48
AI2850_v1_c5	OXA-48
AI2851_v1_c4	OXA-48
AI2852_v1_c4	OXA-48
AI2853_v1_c4	OXA-48
AI2854_v1_c4	OXA-48
AI2855_v1_c4	OXA-48
AI2856_v1_c4	OXA-48
AI2857_v1_c2	OXA-48
AI2861_v1_c3	OXA-48
AI2863_v1_c3	OXA-48
AI2866_v1_c2	OXA-48
AI2868_v1_c3	OXA-48
AI2870_v1_c3	OXA-48
AI2871_v1_c3	OXA-48
AI2872_v1_c2	OXA-48
AI2873_v1_c2	OXA-48
AI2874_v1_c3	OXA-48
AI2875_v1_c3	OXA-48
AI2878_v1_c4	OXA-48
AI2879_v1_c3	OXA-48
AI2882_v1_c3	OXA-48
AI2884_v1_c2	OXA-48
AI2886_v1_c3	OXA-48
AI2887_v1_c2	OXA-48
AI2888_v1_c4	OXA-48
AI2890_v1_c3	OXA-48
AI2891_v1_c2	OXA-48
AI2892_v1_c4	OXA-48
AI2894_v1_c3	OXA-48
AI2895_v1_c3	OXA-48
AI2896_v1_c3	OXA-48
AI2900_v1_c2	OXA-48
AI2902_v1_c3	OXA-48
AI2905_v1_c3	OXA-48
AI2906_v1_c2	OXA-48
AI2907_v1_c3	OXA-48
AI2908_v1_c4	OXA-48
AI2911_v1_c4	OXA-48
AI2912_v1_c2	OXA-48
AI2913_v1_c3	OXA-48
AI2915_v1_c3	OXA-48
AI2916_v1_c6	OXA-48
AI2917_v1_c2	OXA-48
AI2920_v1_c2	OXA-48
AI2921_v1_c3	OXA-48
AI2922_v1_c3	OXA-48
AI2923_v1_c3	OXA-48
AI2924_v1_c3	OXA-48
AI2925_v1_c4	OXA-48
AI2927_v1_c3	OXA-48
AI2929_v1_c4	OXA-48
AI2930_v1_c3	OXA-48
AI2931_v1_c3	OXA-48
AI2932_v1_c4	OXA-48
AI2935_v1_c5	OXA-48
AI2942_v1_c3	OXA-48
AI2943_v1_c5	OXA-48
AI2945_v1_c2	OXA-48
AI2946_v1_c2	OXA-48
AI2949_v1_c2	OXA-48
AI2950_v1_c3	OXA-48
AI2951_v1_c4	OXA-48
AI2952_v1_c3	OXA-48
AI2953_v1_c3	OXA-48
AI2954_v5_c2	OXA-48
AI2957_v1_c3	OXA-48
AI2958_v1_c2	OXA-48
AI2959_v1_c5	OXA-48
AI2960_v1_c4	OXA-48
AI2962_v1_c4	OXA-48
AI2964_v1_c2	OXA-48
AI2965_v1_c4	OXA-48
AI2967_v1_c3	OXA-48
AI2968_v1_c3	OXA-48
AI2969_v1_c4	OXA-48
AI2970_v1_c4	OXA-48
AI2971_v1_c2	OXA-48
AI2973_v2_c2	OXA-48
AI2974_v1_c4	OXA-48
AI2975_v1_c3	OXA-48
AI2976_v1_c4	OXA-48
AI2977_v1_c2	OXA-48
AI2989_v1_c3	OXA-48
AI2993_v1_c4	OXA-48
AI2994_v1_c3	OXA-48
AI2996_v1_c4	OXA-48
AI2998_v1_c4	OXA-48
AI2999_v1_c3	OXA-48
AI3000_v1_c4	OXA-48
AI3001_v1_c4	OXA-48
AI3002_v1_c4	OXA-48
AI3003_v1_c4	OXA-48
AI3004_v1_c4	OXA-48
AI3006_v1_c3	OXA-48
AI3008_v1_c4	OXA-48
AI3009_v1_c4	OXA-48
AI3011_v1_c3	OXA-48
AI3018_v1_c5	OXA-48
AI3021_v1_c3	OXA-48
AI3027_v1_c3	OXA-48
AI3028_v1_c3	OXA-48
AI3030_v1_c3	OXA-48
AI3034_v1_c3	OXA-48
AI3035_v5_c4	OXA-48
AI3036_v1_c4	OXA-48
AI3037_v1_c3	OXA-48
AI3038_v1_c2	OXA-48
AI3039_v1_c4	OXA-48
AI3040_v1_c3	OXA-48
AI3041_v1_c2	OXA-48
AI3062_v1_c3	OXA-48
AI3063_v1_c3	OXA-48
AI3064_v2_c3	OXA-48
AI3065_v1_c3	OXA-48
AI3067_v1_c7	OXA-48
AI3069_v1_c5	OXA-48
AI3070_v1_c2	OXA-48
AI3071_v1_c2	OXA-48
AN2335_v1_c8	OXA-48
AN2336_v5_c4	OXA-48
AN2337_v1_c4	OXA-48
AN2342_v1_c4	OXA-48
AN2343_v1_c4	OXA-48
AN2344_v1_c3	OXA-48
AN2345_v1_c3	OXA-48
AN2346_v1_c3	OXA-48
AN2349_v1_c3	OXA-48
AN2350_v1_c3	OXA-48
AN2351_v1_c3	OXA-48
AN2352_v1_c4	OXA-48
AN2353_v1_c2	OXA-48
AN2355_v1_c3	OXA-48
AN2356_v1_c3	OXA-48
AN2357_v1_c3	OXA-48
AN2358_v1_c8	OXA-48
AN2361_v1_c3	OXA-48
AN2362_v1_c3	OXA-48
AN2363_v1_c2	OXA-48
AN2364_v1_c4	OXA-48
AI2588_v1_c3	KPC
AI2602_v1_c3	KPC
AI2614_v1_c4	KPC
AI2627_v1_c2	KPC
AI2628_v1_c2	KPC
AI2629_v1_c2	KPC
AI2631_v5_c2	KPC
AI2632_v1_c2	KPC
AI2642_v1_c3	KPC
AI2644_v1_c3	KPC
AI2645_v1_c36	KPC
AI2646_v1_c3	KPC
AI2647_v1_c3	KPC
AI2648_v1_c3	KPC
AI2650_v1_c3	KPC
AI2651_v1_c3	KPC
AI2652_v1_c3	KPC
AI2653_v1_c3	KPC
AI2655_v1_c3	KPC
AI2700_v1_c4	KPC
AI2701_v1_c4	KPC
AI2703_v1_c5	KPC
AI2704_v1_c4	KPC
AI2705_v1_c3	KPC
AI2706_v1_c3	KPC
AI2707_v1_c3	KPC
AI2709_v1_c3	KPC
AI2710_v1_c3	KPC
AI2711_v1_c3	KPC
AI2713_v1_c4	KPC
AI2713_v1_c5	KPC
AI2714_v1_c3	KPC
AI2715_v1_c4	KPC
AI2717_v1_c5	KPC
AI2719_v1_c5	KPC
AI2721_v1_c3	KPC
AI2722_v1_c3	KPC
AI2723_v1_c2	KPC
AI2723_v1_c2	KPC
AI2805_v1_c3	KPC
AI2806_v1_c3	KPC
AI2808_v1_c3	KPC
AI2809_v1_c2	KPC
AI2810_v1_c3	KPC
AI2811_v1_c2	KPC
AI2812_v1_c2	KPC
AI2813_v1_c2	KPC
AI2814_v1_c3	KPC
AI2815_v1_c3	KPC
AI2816_v1_c3	KPC
AI2817_v1_c2	KPC
AI2826_v1_c5	KPC
AI2835_v1_c2	KPC
AI2836_v1_c2	KPC
AI2837_v1_c2	KPC
AI2883_v1_c3	KPC
AI2889_v1_c3	KPC
AI2901_v1_c3	KPC
AI2940_v1_c2	KPC
AI2979_v1_c5	KPC
AI2980_v2_c3	KPC
AI2981_v1_c4	KPC
AI2982_v1_c3	KPC
AI2983_v1_c3	KPC
AI2985_v1_c5	KPC
AI3042_v1_c4	KPC
AI3043_v5_c4	KPC
AI3044_v1_c5	KPC
AI3045_v2_c4	KPC
AI3046_v2_c3	KPC
AI3047_v1_c4	KPC
AI3048_v1_c4	KPC
AI3049_v1_c5	KPC
AI3050_v1_c3	KPC
AI3051_v1_c4	KPC
AI3052_v1_c4	KPC
AI3053_v1_c4	KPC
AI3054_v1_c4	KPC
AI3055_v1_c4	KPC
AI3056_v1_c4	KPC
AI3057_v1_c3	KPC
AI3059_v2_c7	KPC
AI3060_v5_c5	KPC
AN2338_v1_c2	KPC
AN2339_v1_c2	KPC
AN2340_v1_c3	KPC
AI2609_v1_c2	VIM
AI2613_v1_c2	VIM
AI2615_v1_c3	VIM
AI2616_v1_c2	VIM
AI2617_v1_c3	VIM
AI2618_v1_c2	VIM
AI2619_v1_c4	VIM
AI2620_v1_c5	VIM
AI2626_v1_c3	VIM
AI2656_v1_c2	VIM
AI2657_v1_c2	VIM
AI2658_v1_c2	VIM
AI2659_v1_c2	VIM
AI2660_v1_c3	VIM
AI2702_v1_c3	VIM
AI2759_v1_c3	VIM
AI2772_v1_c2	VIM
AI2797_v1_c2	VIM
AI2798_v1_c2	VIM
AI2799_v1_c2	VIM
AI2802_v1_c2	VIM
AI2804_v2_c2	VIM
AI2828_v5_c3	VIM
AI2839_v1_c3	VIM
AI2848_v1_c3	VIM
AI2859_v1_c3	VIM
AI2860_v1_c3	VIM
AI2865_v1_c3	VIM
AI2867_v1_c3	VIM
AI2885_v1_c3	VIM
AI2909_v1_c3	VIM
AI2918_v1_c4	VIM
AI2936_v1_c2	VIM
AI2937_v1_c3	VIM
AI2939_v1_c2	VIM
AI2941_v1_c4	VIM
AI2972_v1_c3	VIM
AI2991_v1_c4	VIM
AI3010_v1_c3	VIM
AI3012_v1_c3	VIM
AI3013_v2_c2	VIM
AI3025_v1_c2	VIM
AN2360_v1_c2	VIM
AI2779_v1_c2	NDM
AI2843_v1_c2	NDM
AI2858_v1_c3	NDM
AI2880_v1_c3	NDM
AI2898_v1_c2	NDM
AI2934_v1_c3	NDM
AI3007_v1_c2	NDM
AI3008_v1_c2	NDM
AI2642_v1_c4	IMP
AI2747_v1_c5	IMP
AI2760_v1_c5	IMP
AI2992_v5_c3	IMP
AI2744_v1_c4	GES
