Genomes	Version	MLST_inCREDble	MLST_TSeeman	MLST_recheck_CGE	MLST_Final	Combination_MLST_tseeman
AH0325	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AH0326	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AH0327	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AH0328	v1	171	171		171	dnaA(49), fusA(21), gyrB(19), leuS(44), pyrG(45), rplB(12), rpoB(32)
AH0329	v1	392	392		392	gapA(3), infB(4), mdh(6), pgi(1), phoE(7), rpoB(4), tonB(40)
AH0330	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
AH0331	v1	104	104		104	gapA(2), infB(3), mdh(1), pgi(1), phoE(2), rpoB(1), tonB(43)
AI2583	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2584	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2585	v1	405	405		405	gapA(2), infB(1), mdh(62), pgi(3), phoE(10), rpoB(4), tonB(110)
AI2586	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2587	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2588	v1	512	512		512	gapA(54), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(79)
AI2589	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2590	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2591	v1	11	11		11	gapA(3), infB(3), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(4)
AI2592	v1	405	405		405	gapA(2), infB(1), mdh(62), pgi(3), phoE(10), rpoB(4), tonB(110)
AI2593	v1	219	219		219	gapA(2), infB(1), mdh(2), pgi(3), phoE(27), rpoB(1), tonB(39)
AI2594	v1	15	15		15	gapA(1), infB(1), mdh(1), pgi(1), phoE(1), rpoB(1), tonB(1)
